,Waktu,Harga
0,2014-00-15,483177817
1,2014-01-15,464166759
2,2014-02-15,505600632
3,2014-03-15,478715808
4,2014-04-15,478465080
5,2014-05-15,483781045
6,2014-06-15,486579125
7,2014-07-15,489732148
8,2014-08-15,471472614
9,2014-09-15,489930981
10,2014-10-15,466876366
11,2014-11-15,492723811
12,2015-00-15,511722391
13,2015-01-15,489930981
14,2015-02-15,491574888
15,2015-03-15,499624454
16,2015-04-15,515587345
17,2015-05-15,509726627
18,2015-06-15,491617992
19,2015-07-15,493067415
20,2015-08-15,510044167
21,2015-09-15,507878091
22,2015-10-15,475041601
23,2015-11-15,480281887
24,2016-00-15,486625341
25,2016-01-15,507878091
26,2016-02-15,517993722
27,2016-03-15,522729132
28,2016-04-15,544962466
29,2016-05-15,553564154
30,2016-06-15,560026608
31,2016-07-15,565700778
32,2016-08-15,557904318
33,2016-09-15,524883801
34,2016-10-15,525226891
35,2016-11-15,483221053
36,2017-00-15,512279335
37,2017-01-15,524883801
38,2017-02-15,516109786
39,2017-03-15,547562858
40,2017-04-15,527604680
41,2017-05-15,535072390
42,2017-06-15,527164733
43,2017-07-15,546244868
44,2017-08-15,564066704
45,2017-09-15,566238967
46,2017-10-15,555959763
47,2017-11-15,547537328
48,2018-00-15,574673064
49,2018-01-15,566238967
50,2018-02-15,581643358
51,2018-03-15,594832562
52,2018-04-15,582427570
53,2018-05-15,571022277
54,2018-06-15,573106367
55,2018-07-15,553486363
56,2018-08-15,569295070
57,2018-09-15,601213458
58,2018-10-15,576291752
59,2018-11-15,578916974
60,2019-00-15,583229772
61,2019-01-15,601213458
62,2019-02-15,599236730
63,2019-03-15,583145391
64,2019-04-15,602832317
65,2019-05-15,616957755
66,2019-06-15,634620742
67,2019-07-15,698954891
68,2019-08-15,667641439
69,2019-09-15,673116056
70,2019-10-15,662978872
71,2019-11-15,663347015
72,2020-00-15,683976334
73,2020-01-15,673116056
74,2020-02-15,728421675
75,2020-03-15,866152347
76,2020-04-15,838377492
77,2020-05-15,787424909
78,2020-06-15,851824885
79,2020-07-15,932458299
80,2020-08-15,936074215
81,2020-09-15,903533718
82,2020-10-15,864029384
83,2020-11-15,842301754
84,2021-00-15,827558232
85,2021-01-15,903533718
86,2021-02-15,801736612
87,2021-03-15,831476068
88,2021-04-15,841701215
89,2021-05-15,846928311
90,2021-06-15,851171127
91,2021-07-15,823153670
92,2021-08-15,821914135
93,2021-09-15,804724763
94,2021-10-15,853152517
95,2021-11-15,815691802
96,2022-00-15,836217092
97,2022-01-15,804724763
98,2022-02-15,888291980
99,2022-03-15,911168929
100,2022-04-15,849254440
101,2022-05-15,861986434
102,2022-06-15,822094437
103,2022-07-15,841443321
104,2022-08-15,798353629
105,2022-09-15,811785940
106,2022-10-15,882282860
107,2022-11-15,892945377
